"id_usuario","usuario","total_receitas","total_despesas","saldo","valor_objetivo","valor_atual","percentual_meta","status_meta"
"1","Ana Carolina Silva","3500.00","520.35","2979.65","10000.00","2500.00","25.00","EM_ANDAMENTO"
"2","Bruno Henrique Souza","850.00","180.00","670.00","6000.00","1800.00","30.00","EM_ANDAMENTO"
"3","Camila Oliveira Santos","420.50","95.00","325.50","5000.00","5000.00","100.00","CONCLUIDA"
"4","Daniel Ferreira Lima","4200.00","1500.00","2700.00","3000.00","1200.00","40.00","EM_ANDAMENTO"
"5","Eduarda Martins Costa","680.00","210.45","469.55","15000.00","4500.00","30.00","EM_ANDAMENTO"
"6","Felipe Almeida Rocha","3100.00","680.20","2419.80","8000.00","2200.00","27.50","EM_ANDAMENTO"
"7","Gabriela Ribeiro Alves","1200.00","125.90","1074.10","3500.00","3500.00","100.00","CONCLUIDA"
"8","Henrique Barbosa Melo","950.00","109.90","840.10","12000.00","4000.00","33.33","EM_ANDAMENTO"
"9","Isabela Castro Nunes","1500.00","250.00","1250.00","20000.00","6500.00","32.50","EM_ANDAMENTO"
"10","João Pedro Martins","3900.00","230.00","3670.00","50000.00","10000.00","20.00","EM_ANDAMENTO"
"11","Larissa Gomes Pereira","540.00","430.75","109.25","5000.00","1500.00","30.00","EM_ANDAMENTO"
"12","Lucas Mendes Silva","320.00","390.00","-70.00","4500.00","4500.00","100.00","CONCLUIDA"
"13","Mariana Rodrigues Lima","2800.00","280.00","2520.00","18000.00","5000.00","27.78","EM_ANDAMENTO"
"14","Matheus Carvalho Souza","1100.00","79.90","1020.10","2500.00","900.00","36.00","EM_ANDAMENTO"
"15","Natalia Fernandes Costa","185.75","54.90","130.85","7000.00","2100.00","30.00","EM_ANDAMENTO"
"16","Otavio Martins Rocha","4500.00","185.00","4315.00","9000.00","3000.00","33.33","EM_ANDAMENTO"
"17","Patricia Lima Alves","720.00","320.00","400.00","18000.00","6000.00","33.33","EM_ANDAMENTO"
"18","Rafael Gomes Santos","510.25","28.50","481.75","15000.00","5500.00","36.67","EM_ANDAMENTO"
"19","Sabrina Oliveira Melo","3300.00","850.00","2450.00","4000.00","4000.00","100.00","CONCLUIDA"
"20","Thiago Ribeiro Costa","430.00","175.00","255.00","12000.00","3000.00","25.00","EM_ANDAMENTO"
"21","Amanda Ferreira Alves","3700.00","590.40","3109.60","6000.00","2000.00","33.33","EM_ANDAMENTO"
"22","Caio Barbosa Lima","1350.00","210.00","1140.00","5000.00","1800.00","36.00","EM_ANDAMENTO"
"23","Beatriz Castro Silva","275.40","120.00","155.40","10000.00","3500.00","35.00","EM_ANDAMENTO"
"24","Diego Nunes Rocha","4100.00","1600.00","2500.00","8000.00","2500.00","31.25","EM_ANDAMENTO"
"25","Elisa Martins Souza","890.00","195.30","694.70","12000.00","6000.00","50.00","EM_ANDAMENTO"
"26","Fernando Carvalho Lima","3000.00","720.65","2279.35","30000.00","8000.00","26.67","EM_ANDAMENTO"
"27","Giovana Pereira Costa","1250.00","145.80","1104.20","7000.00","3500.00","50.00","EM_ANDAMENTO"
"28","Hugo Mendes Alves","760.00","119.90","640.10","6000.00","2000.00","33.33","EM_ANDAMENTO"
"29","Julia Rodrigues Santos","1800.00","310.00","1490.00","4000.00","4000.00","100.00","CONCLUIDA"
"30","Leonardo Fernandes Melo","3950.00","250.00","3700.00","20000.00","7500.00","37.50","EM_ANDAMENTO"
"31","Manuela Gomes Rocha","980.00","480.25","499.75","15000.00","5000.00","33.33","EM_ANDAMENTO"
"32","Nicolas Oliveira Lima","350.00","450.00","-100.00","2000.00","800.00","40.00","EM_ANDAMENTO"
"33","Olivia Ribeiro Souza","2900.00","315.00","2585.00","9000.00","3000.00","33.33","EM_ANDAMENTO"
"34","Pedro Henrique Costa","1250.00","84.90","1165.10","6000.00","2200.00","36.67","EM_ANDAMENTO"
"35","Quezia Almeida Santos","210.60","69.90","140.70","7000.00","2500.00","35.71","EM_ANDAMENTO"
"36","Ricardo Martins Alves","4600.00","240.00","4360.00","12000.00","3500.00","29.17","EM_ANDAMENTO"
"37","Sofia Carvalho Rocha","640.00","280.00","360.00","5500.00","5500.00","100.00","CONCLUIDA"
"38","Tomas Ferreira Lima","480.30","32.50","447.80","11000.00","2800.00","25.45","EM_ANDAMENTO"
"39","Valentina Gomes Costa","3400.00","920.00","2480.00","10000.00","3200.00","32.00","EM_ANDAMENTO"
"40","William Barbosa Silva","550.00","190.00","360.00","18000.00","6000.00","33.33","EM_ANDAMENTO"
"41","Yasmin Castro Alves","3800.00","550.70","3249.30","25000.00","7000.00","28.00","EM_ANDAMENTO"
"42","Arthur Nunes Souza","920.00","195.00","725.00","5000.00","1800.00","36.00","EM_ANDAMENTO"
"43","Bianca Martins Costa","390.45","110.00","280.45","60000.00","12000.00","20.00","EM_ANDAMENTO"
"44","Cesar Rodrigues Lima","4300.00","1550.00","2750.00","8000.00","3000.00","37.50","EM_ANDAMENTO"
"45","Debora Fernandes Rocha","760.00","225.60","534.40","35000.00","9000.00","25.71","EM_ANDAMENTO"
"46","Enzo Pereira Alves","1300.00","640.35","659.65","10000.00","4000.00","40.00","EM_ANDAMENTO"
"47","Flavia Mendes Santos","1250.00","138.50","1111.50","4500.00","1500.00","33.33","EM_ANDAMENTO"
"48","Gustavo Oliveira Melo","3200.00","114.90","3085.10","6500.00","2500.00","38.46","EM_ANDAMENTO"
"49","Helena Ribeiro Lima","610.00","220.00","390.00","6000.00","2000.00","33.33","EM_ANDAMENTO"
"50","Igor Carvalho Souza","1050.00","240.00","810.00","13000.00","3500.00","26.92","EM_ANDAMENTO"
