id_usuario,usuario,total_receitas,total_despesas,saldo,valor_objetivo,valor_atual,percentual_meta,status_meta,cluster
1,Ana Carolina Silva,3500.0,520.35,2979.65,10000.0,2500.0,25.0,EM_ANDAMENTO,2
2,Bruno Henrique Souza,850.0,180.0,670.0,6000.0,1800.0,30.0,EM_ANDAMENTO,0
3,Camila Oliveira Santos,420.5,95.0,325.5,5000.0,5000.0,100.0,CONCLUIDA,3
4,Daniel Ferreira Lima,4200.0,1500.0,2700.0,3000.0,1200.0,40.0,EM_ANDAMENTO,1
5,Eduarda Martins Costa,680.0,210.45,469.55,15000.0,4500.0,30.0,EM_ANDAMENTO,0
6,Felipe Almeida Rocha,3100.0,680.2,2419.8,8000.0,2200.0,27.5,EM_ANDAMENTO,2
7,Gabriela Ribeiro Alves,1200.0,125.9,1074.1,3500.0,3500.0,100.0,CONCLUIDA,3
8,Henrique Barbosa Melo,950.0,109.9,840.1,12000.0,4000.0,33.33,EM_ANDAMENTO,0
9,Isabela Castro Nunes,1500.0,250.0,1250.0,20000.0,6500.0,32.5,EM_ANDAMENTO,0
10,João Pedro Martins,3900.0,230.0,3670.0,50000.0,10000.0,20.0,EM_ANDAMENTO,2
11,Larissa Gomes Pereira,540.0,430.75,109.25,5000.0,1500.0,30.0,EM_ANDAMENTO,0
12,Lucas Mendes Silva,320.0,390.0,-70.0,4500.0,4500.0,100.0,CONCLUIDA,3
13,Mariana Rodrigues Lima,2800.0,280.0,2520.0,18000.0,5000.0,27.78,EM_ANDAMENTO,2
14,Matheus Carvalho Souza,1100.0,79.9,1020.1,2500.0,900.0,36.0,EM_ANDAMENTO,0
15,Natalia Fernandes Costa,185.75,54.9,130.85,7000.0,2100.0,30.0,EM_ANDAMENTO,0
16,Otavio Martins Rocha,4500.0,185.0,4315.0,9000.0,3000.0,33.33,EM_ANDAMENTO,2
17,Patricia Lima Alves,720.0,320.0,400.0,18000.0,6000.0,33.33,EM_ANDAMENTO,0
18,Rafael Gomes Santos,510.25,28.5,481.75,15000.0,5500.0,36.67,EM_ANDAMENTO,0
19,Sabrina Oliveira Melo,3300.0,850.0,2450.0,4000.0,4000.0,100.0,CONCLUIDA,3
20,Thiago Ribeiro Costa,430.0,175.0,255.0,12000.0,3000.0,25.0,EM_ANDAMENTO,0
21,Amanda Ferreira Alves,3700.0,590.4,3109.6,6000.0,2000.0,33.33,EM_ANDAMENTO,2
22,Caio Barbosa Lima,1350.0,210.0,1140.0,5000.0,1800.0,36.0,EM_ANDAMENTO,0
23,Beatriz Castro Silva,275.4,120.0,155.4,10000.0,3500.0,35.0,EM_ANDAMENTO,0
24,Diego Nunes Rocha,4100.0,1600.0,2500.0,8000.0,2500.0,31.25,EM_ANDAMENTO,1
25,Elisa Martins Souza,890.0,195.3,694.7,12000.0,6000.0,50.0,EM_ANDAMENTO,0
26,Fernando Carvalho Lima,3000.0,720.65,2279.35,30000.0,8000.0,26.67,EM_ANDAMENTO,2
